,T,WAM.TN,WAM.FP,WAM.FN,WAM.TP,WAM.Rc,WAM.Pr,WAM.F1,WAM.Sn,WAM.Sp,Tpr,Fpr,T,BN.TN,BN.FP,BN.FN,BN.TP,BN.Rc,BN.Pr,BN.F1,BN.Sn,BN.Sp,Tpr,Fpr,T,SVM.TN,SVM.FP,SVM.FN,SVM.TP,SVM.Rc,SVM.Pr,SVM.F1,SVM.Sn,SVM.Sp,Tpr,Fpr
0,-40.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-40.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-40.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
1,-39.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
2,-39.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-39.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
3,-38.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
4,-38.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-38.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
5,-37.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
6,-37.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-37.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
7,-36.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
8,-36.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-36.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
9,-35.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
10,-35.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-35.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
11,-34.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
12,-34.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-34.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
13,-33.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
14,-33.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-33.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
15,-32.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
16,-32.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-32.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
17,-31.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
18,-31.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-31.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
19,-30.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
20,-30.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-30.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
21,-29.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
22,-29.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-29.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
23,-28.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
24,-28.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-28.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
25,-27.5,1,2360,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
26,-27.0,2,2359,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-27.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
27,-26.5,6,2355,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
28,-26.0,7,2354,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,-26.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
