T,WAM.TN,WAM.FP,WAM.FN,WAM.TP,WAM.Rc,WAM.Pr,WAM.F1,WAM.Sn,WAM.Sp,WAM.Tpr,WAM.Fpr,BN.TN,BN.FP,BN.FN,BN.TP,BN.Rc,BN.Pr,BN.F1,BN.Sn,BN.Sp,BN.Tpr,BN.Fpr,SVM.TN,SVM.FP,SVM.FN,SVM.TP,SVM.Rc,SVM.Pr,SVM.F1,SVM.Sn,SVM.Sp,SVM.Tpr,SVM.Fpr
-40.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-39.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-39.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-38.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-38.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-37.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-37.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-36.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-36.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-35.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-35.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
-34.5,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
